1 	 0.738 	 1000 	 means
1 	 0.741 	 1000 	 means
1 	 0.753 	 1000 	 means
1 	 0.755 	 1000 	 means
1 	 0.768 	 1000 	 means
1 	 0.771 	 1000 	 means
1 	 0.772 	 1000 	 means
1 	 0.773 	 1000 	 means
1 	 0.774 	 1000 	 means
1 	 0.775 	 1000 	 means
1 	 0.78 	 1000 	 means
2 	 1 	 1000 	 means
2 	 1 	 1000 	 means
2 	 1 	 1000 	 means
2 	 1 	 1000 	 means
3 	 1 	 1000 	 means
3 	 1 	 1000 	 means
3 	 1 	 1000 	 means
3 	 1 	 1000 	 means
3 	 1 	 1000 	 means
4 	 1 	 1000 	 means
4 	 1 	 1000 	 means
4 	 1 	 1000 	 means
4 	 1 	 1000 	 means
4 	 1 	 1000 	 means
5 	 1 	 1000 	 means
5 	 1 	 1000 	 means
6 	 1 	 1000 	 means
6 	 1 	 1000 	 means
7 	 1 	 1000 	 means
7 	 1 	 1000 	 means
7 	 1 	 1000 	 means
7 	 1 	 1000 	 means
8 	 1 	 1000 	 means
8 	 1 	 1000 	 means
8 	 1 	 1000 	 means
8 	 1 	 1000 	 means
8 	 1 	 1000 	 means
9 	 1 	 1000 	 means
9 	 1 	 1000 	 means
9 	 1 	 1000 	 means
9 	 1 	 1000 	 means
9 	 1 	 1000 	 means
9 	 1 	 1000 	 means
9 	 1 	 1000 	 means
9 	 1 	 1000 	 means
10 	 1 	 1000 	 means
10 	 1 	 1000 	 means
11 	 1 	 1000 	 means
11 	 1 	 1000 	 means
11 	 1 	 1000 	 means
12 	 1 	 1000 	 means
12 	 1 	 1000 	 means
12 	 1 	 1000 	 means
13 	 1 	 1000 	 means
13 	 1 	 1000 	 means
14 	 1 	 1000 	 means
14 	 1 	 1000 	 means
14 	 1 	 1000 	 means
14 	 1 	 1000 	 means
14 	 1 	 1000 	 means
14 	 1 	 1000 	 means
14 	 1 	 1000 	 means
15 	 1 	 1000 	 means
16 	 1 	 1000 	 means
16 	 1 	 1000 	 means
16 	 1 	 1000 	 means
16 	 1 	 1000 	 means
17 	 1 	 1000 	 means
17 	 1 	 1000 	 means
17 	 1 	 1000 	 means
18 	 1 	 1000 	 means
18 	 1 	 1000 	 means
19 	 1 	 1000 	 means
